Name,Created,Property,Tags
Robbie Williams,"August 1, 2022 1:38 PM",,
Carl Sagan,"August 1, 2022 1:38 PM",,
Jean Paul Sartre,"August 1, 2022 1:38 PM",,Philosophy
Jean-Paul Sartre,"August 1, 2022 1:38 PM",,Philosophy
Karl Marx,"August 1, 2022 1:38 PM",,"Economist, Philosophy"
Russ,"August 1, 2022 1:38 PM",,
Stefan Molyneux,"August 1, 2022 1:38 PM",,Philosophy
Niccolo Machiavelli,"August 1, 2022 1:38 PM",,Philosophy
Nick Yarris,"August 1, 2022 1:38 PM",,
Leonardo da Vinci,"August 1, 2022 1:38 PM",,Artist
Confucius,"August 1, 2022 1:38 PM",,Philosophy
Michelangelo,"August 1, 2022 1:38 PM",,Artist
Jason Silva,"August 1, 2022 1:38 PM",,"Communication, Philosophy"
Dom D’agostino and Layne Norton,"August 1, 2022 1:38 PM",,Diet
Napoleon Bonaparte,"August 1, 2022 1:38 PM",,Emperor
Joel McHale,"August 1, 2022 1:38 PM",,
Steve Jobs,"August 1, 2022 1:38 PM",,Entrepreneurial
Craig Ferguson,"August 1, 2022 1:38 PM",,Comedy
Tupac Shakur,"August 1, 2022 1:38 PM",,"Politics, Rapper"
Warren Buffet,"August 1, 2022 1:38 PM",,
Quentin Tarantino,"August 1, 2022 1:38 PM",,
Viktor E Frankl,"August 1, 2022 1:38 PM",,
https://en.wikipedia.org/wiki/Charles_Bukowski,"August 1, 2022 1:38 PM",,Philosophy
Nas,"August 1, 2022 1:38 PM",,Rapper
Julius Caesar,"August 1, 2022 1:38 PM",,Emperor
Rene Descartes,"August 1, 2022 1:38 PM",,Philosophy
Ray Dalio,"August 1, 2022 1:38 PM",,
Pavel Tsatsouline,"August 1, 2022 1:38 PM",,
Paul Stamets,"August 1, 2022 1:38 PM",,Psychedelics
Bret Weinstein,"August 1, 2022 1:38 PM",,
Dan Carlin,"August 1, 2022 1:38 PM",,
"Robin Williams ","August 1, 2022 1:38 PM",,
Firas Zahabi,"August 1, 2022 1:38 PM",,
Daniel Tosh,"August 1, 2022 1:38 PM",,Comedy
Alan Turing,"August 1, 2022 1:38 PM",,Engineer
Graham Stephan,"August 1, 2022 1:38 PM",,
Paul Chek,"August 1, 2022 1:38 PM",,
Le Corbusier,"August 1, 2022 1:38 PM",,Architect
Jacko Willink,"August 1, 2022 1:38 PM",,
Alexander the Great,"August 1, 2022 1:38 PM",,Emperor
Sigmund Freud,"August 1, 2022 1:38 PM",,Psychology
Galileo Galilee,"August 1, 2022 1:38 PM",,
Albert Einstein,"August 1, 2022 1:38 PM",,Physics
Lawrence Krauss,"August 1, 2022 1:38 PM",,
Jim Carey,"August 1, 2022 1:38 PM",,"Comedy, Philosophy"
Daniel Sloss,"August 1, 2022 1:38 PM",,Comedy
Russel Brand,"August 1, 2022 1:38 PM",,
Johnny Depp,"August 1, 2022 1:38 PM",,Acting
Ludwig Mies van der Rohe,"August 1, 2022 1:38 PM",,Architect
Francis Bacon,"August 1, 2022 1:38 PM",,Science
"Jon Ronson ","August 1, 2022 1:38 PM",,Author
,"August 1, 2022 1:38 PM",,
Andrew Scott,"August 1, 2022 1:38 PM",,Acting
Christopher Hitchens,"August 1, 2022 1:38 PM",,"Critic, Philosophy"
Henry Ford,"August 1, 2022 1:38 PM",,"Entrepreneurial, Productivity"
Norm McDonald,"August 1, 2022 1:38 PM",,Comedy
Marcel Breuer,"August 1, 2022 1:38 PM",,Architect
Winston Churchill,"August 1, 2022 1:38 PM",,Politics
"Martin Luther King, Jr.","August 1, 2022 1:38 PM",,Politics
Malcom X,"August 1, 2022 1:38 PM",,Politics
George Carlin,"August 1, 2022 1:38 PM",,
Sargon of Akkad,"August 1, 2022 1:38 PM",,Philosophy
Gary Vee,"August 1, 2022 1:38 PM",,
John Coltrane,"August 1, 2022 1:38 PM",,Musician
Benjamin Franklin,"August 1, 2022 1:38 PM",,Politics
William Faulkner,"August 1, 2022 1:38 PM",,Author
John Danaher,"August 1, 2022 1:38 PM",,Fighting
Anderson Silva,"August 1, 2022 1:38 PM",,Fighting
Marie Curie,"August 1, 2022 1:38 PM",,Science
Gordon Ramsey,"August 1, 2022 1:38 PM",,
Neil deGrasse Tyson,"August 1, 2022 1:38 PM",,
Guy Ritchie,"August 1, 2022 1:38 PM",,
Lex Friedman,"August 1, 2022 1:38 PM",,
Richard Feynman,"August 1, 2022 1:38 PM",,
Notorious BIG,"August 1, 2022 1:38 PM",,Rapper
Elon Musk,"August 1, 2022 1:38 PM",,
Jack Manley,"August 1, 2022 1:38 PM",,YouTuber
Carl G. Jung,"August 1, 2022 1:38 PM",,"Philosophy, Psychology"
Daniel Dennet,"August 1, 2022 1:38 PM",,Philosophy
Epictetus,"August 1, 2022 1:38 PM",,Philosophy
Christian Bale,"August 1, 2022 1:38 PM",,Acting
Naval Ravikant,"August 1, 2022 1:38 PM",,
"Roy Jones, Jr.","August 1, 2022 1:38 PM",,Fighting
Royce da 5'9,"August 1, 2022 1:38 PM",,Rapper
Nelson Mandela,"August 1, 2022 1:38 PM",,Politics
David Sinclair,"August 1, 2022 1:38 PM",,
Terrence McKenna,"August 1, 2022 1:38 PM",,
https://www.brianmackenzie.com/,"August 1, 2022 1:38 PM",,Health
Jordan Peterson,"August 1, 2022 1:38 PM",,
Kanye West,"August 1, 2022 1:38 PM",,Rapper
Marcel Proust,"August 1, 2022 1:38 PM",,Author
Aristotle,"August 1, 2022 1:38 PM",,Philosophy
Nicolaus Copernicus,"August 1, 2022 1:38 PM",,Science
Karl Deisseroth,"August 1, 2022 1:38 PM",,
"Seth McFarlane ","August 1, 2022 1:38 PM",,Comedy
Robert Greene,"August 1, 2022 1:38 PM",,Author
David Duchovny,"August 1, 2022 1:38 PM",,
Mathew Walker,"August 1, 2022 1:38 PM",,
Michael Sealey,"August 1, 2022 1:38 PM",,Hypnosis
James Acaster,"August 1, 2022 1:38 PM",,
Andre 3000,"August 1, 2022 1:38 PM",,Rapper
Pythagoras,"August 1, 2022 1:38 PM",,Philosophy
Friedrich Nietzsche,"August 1, 2022 1:38 PM",,
Stanisław Szukalski,"August 1, 2022 1:38 PM",,Artist
Abraham Lincoln,"August 1, 2022 1:38 PM",,Politics
Richard Dawkins,"August 1, 2022 1:38 PM",,
Napoleon Hill,"August 1, 2022 1:38 PM",,
Lance Armstrong,"August 1, 2022 1:38 PM",,
Jiddu Krishnamurti,"August 1, 2022 1:38 PM",,Philosophy
Archimedes,"August 1, 2022 1:38 PM",,Science
